epoch,step,lr,loss_total,bce,mse,10%_win_acc,5%_win_acc,2%_win_acc,1%_win_acc,0.5%_win_acc
1,0,1e-05,0.6359165906906128,0.6796014308929443,0.24275314807891846,0.0,0.0,0.0,0.0,0.0
1,1,1.2251506024096386e-05,0.6359826326370239,0.6796677708625793,0.2428167313337326,0.0,0.0,0.0,0.0,0.0
1,2,1.4503012048192772e-05,0.6332268118858337,0.6767553091049194,0.2414705455303192,0.0,0.0,0.0,0.0,0.0
1,3,1.675451807228916e-05,0.6339162588119507,0.6774728298187256,0.2419072538614273,0.0,0.0,0.0,0.0,0.0
1,4,1.9006024096385542e-05,0.6311891674995422,0.6746150851249695,0.2403564453125,0.0,0.0,0.0,0.0,0.0
1,5,2.1257530120481926e-05,0.6314136385917664,0.6748524904251099,0.24046412110328674,0.0,0.0,0.0,0.0,0.0
1,6,2.3509036144578312e-05,0.6290814876556396,0.6723854541778564,0.23934626579284668,0.0,0.0,0.0,0.0,0.0
1,7,2.57605421686747e-05,0.6284970641136169,0.6717579960823059,0.23914887011051178,0.0,0.0,0.0,0.0,0.0
1,8,2.8012048192771085e-05,0.6251629590988159,0.6682417988777161,0.23745344579219818,0.0,0.0,0.0,0.0,0.0
1,9,3.0263554216867472e-05,0.6260887980461121,0.6692220568656921,0.23788994550704956,0.0,0.0,0.0,0.0,0.0
1,10,3.251506024096385e-05,0.6210272312164307,0.6638883352279663,0.2352772057056427,0.0,0.0,0.0,0.0,0.0
